GrønTuborg/TuborgClassic,FineFestival/GuldTuborg,Technobajer,Sodavand,Cocio,Drinks,Shots
0,0,5,10,0,1,0
18,10,0,2,0,15,0
17,2,,,,3,
19,2,,7,1,1,
4,20,,6,,6,
12,6,,,,,
17,3,4,2,1,2,
30,10,2,4,,4,
5,,,,,,
23,,7,5,,3,
22,5,,,,2,
30,4,,4,,6,6
4,1,,11,,,
11,20,,16,5,2,
28,,,4,,1,
8,13,1,11,,3,
10,3,,2,3,,
,,,,,2,10
10,5,,2,3,3,10
10,,2,,1,5,
12,10,,,,1,
1,,,6,2,1,
16,1,,2,,,
18,5,,5,,,
12,8,,5,,1,
15,10,,3,1,4,
12,7,,3,2,2,3
15,4,,,,3,
19,10,,1,1,9,3
32,10,,4,4,,1
8,,,1,,7,3
7,12,,2,3,12,
,,2,,,,
2,1,1,4,3,3,
13,3,2,,1,7,
15,7,,,,1,3
12,11,1,7,,,
23,13,1,2,,1,
12,12,,2,,5,
7,10,,1,3,4,
17,,2,,,1,
,,16,3,,2,
18,,3,,,,
34,,,1,3,1,
,,12,1,1,2,
,,12,,1,4,
13,3,1,1,2,1,
9,4,,6,5,3,
7,3,,5,3,1,
18,1,,1,,2,
28,2,8,,,3,
16,15,,3,2,2,
1,1,10,,1,7,10
1,4,8,4,1,5,
24,3,1,2,,2,
,,,3,4,1,
,,7,,1,6,
1,1,2,,1,1,
3,,,5,5,,
18,4,1,4,1,1,
18,9,,2,1,1,
14,,,6,1,4,
14,6,,2,2,1,
18,22,,,2,5,
1,,3,6,2,9,
7,1,,2,2,,
16,5,,,,3,
,,10,2,1,,
3,13,,,5,2,
15,7,,,2,2,
11,3,,,1,4,
8,2,,,1,,
19,12,,,5,,10
7,1,1,1,,10,2
23,15,,3,,4,
4,16,,1,1,5,
35,30,,3,2,2,10
10,,,,1,6,
3,,,1,,,
10,2,,5,,3,
5,5,,,1,1,
